     #data, run, bin, learner,            goal,  a, b, c, d,   acc,    pd,   pf,  prec,   bal
 iris.arff,   4,   6,     j48, Iris-versicolor,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   6,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   5,      nb,  Iris-virginica,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   5,      nb, Iris-versicolor, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   5,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   5,     j48, Iris-versicolor, 10, 0, 1, 4,  93.3, 100.0,  9.1,  80.0,  93.6
 iris.arff,   4,   5,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   4,      nb,     Iris-setosa,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   4,     j48,     Iris-setosa,  8, 0, 0, 7, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   3,      nb,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   3,      nb, Iris-versicolor,  6, 0, 0, 9, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   3,      nb,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   3,     j48,  Iris-virginica, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   3,     j48, Iris-versicolor,  6, 0, 0, 9, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   3,     j48,     Iris-setosa, 12, 0, 0, 3, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   2,      nb,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   2,      nb, Iris-versicolor, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   2,      nb,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   2,     j48,  Iris-virginica,  9, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   2,     j48, Iris-versicolor, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   2,     j48,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,  10,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,  10,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   1,      nb,  Iris-virginica,  9, 0, 1, 4,  92.9, 100.0, 10.0,  80.0,  92.9
 iris.arff,   4,   1,      nb,     Iris-setosa,  8, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   1,     j48,  Iris-virginica, 10, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   1,     j48, Iris-versicolor, 10, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   4,   1,     j48,     Iris-setosa,  8, 0, 0, 6, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   9,      nb,     Iris-setosa, 13, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   9,     j48,  Iris-virginica,  8, 0, 1, 6,  93.3, 100.0, 11.1,  85.7,  92.1
 iris.arff,   3,   9,     j48,     Iris-setosa, 13, 0, 0, 2, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   8,      nb,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   8,      nb, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   8,      nb,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   8,     j48,  Iris-virginica, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   8,     j48, Iris-versicolor, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   8,     j48,     Iris-setosa, 10, 0, 0, 5, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   7,      nb,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   7,     j48, Iris-versicolor,  8, 0, 1, 6,  93.3, 100.0, 11.1,  85.7,  92.1
 iris.arff,   3,   7,     j48,     Iris-setosa, 11, 0, 0, 4, 100.0, 100.0,  0.0, 100.0, 100.0
 iris.arff,   3,   6,      nb, Iris-versicolor, 12, 0, 1, 2,  93.3, 100.0,  7.7,  66.7,  94.6
