 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,9,20,14,374,.95,.61,.96,.74,.57)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,367,18,28,4,.18,.07,.13,.10,.42)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,4,28,18,367,.93,.82,.95,.87,.42)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,387,20,0,10,.33,.00,1.00,.00,.53)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,10,8,20,379,.98,.67,.95,.79,.53)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,390,14,4,9,.39,.01,.69,.02,.57)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,10,15,13,379,.96,.57,.97,.71,.60)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,371,17,18,11,.39,.05,.38,.08,.57)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,11,18,17,371,.95,.61,.96,.74,.57)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,345,18,45,9,.33,.12,.17,.17,.52)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,9,45,18,345,.88,.67,.95,.76,.52)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,382,18,4,13,.42,.01,.76,.02,.59)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,13,12,18,374,.97,.58,.95,.73,.59)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,391,13,0,13,.50,.00,1.00,.00,.65)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,14,3,12,388,.99,.46,.97,.63,.67)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,383,15,10,9,.38,.03,.47,.05,.56)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,9,10,15,383,.97,.63,.96,.76,.56)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,382,20,9,6,.23,.02,.40,.04,.46)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,6,9,20,382,.98,.77,.95,.86,.46)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,396,9,2,10,.53,.01,.83,.01,.67)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,10,4,9,394,.99,.47,.98,.64,.66)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,389,21,2,5,.19,.01,.71,.01,.43)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,6,5,20,386,.99,.77,.95,.86,.46)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,383,17,9,8,.32,.02,.47,.04,.52)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,8,9,17,383,.98,.68,.96,.80,.52)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,10,22,20,365,.94,.67,.95,.78,.53)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,365,20,22,10,.33,.06,.31,.10,.53)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,389,21,1,6,.22,.003,.86,.01,.45)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,6,7,21,383,.98,.78,.95,.87,.45)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,382,25,4,6,.19,.01,.60,.02,.43)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,8,9,23,377,.98,.74,.94,.84,.48)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,351,14,39,13,.48,.10,.25,.17,.63)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,13,39,14,351,.90,.52,.96,.66,.63)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,352,19,39,7,.27,.10,.15,.15,.48)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,7,39,19,352,.90,.73,.95,.81,.48)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,397,9,1,10,.53,.003,.91,.01,.67)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,10,13,9,385,.97,.47,.98,.64,.66)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,389,17,2,9,.35,.01,.82,.01,.54)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,9,9,17,382,.98,.65,.96,.78,.54)
