 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,10,8,10,59,.88,.50,.86,.64,.64)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,59,10,8,10,.50,.12,.56,.19,.64)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,65,10,6,6,.38,.08,.50,.14,.55)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,6,6,10,65,.92,.63,.87,.74,.55)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,77,7,0,3,.30,.00,1.00,.00,.51)
 (INFOGAIN-PRISM INFOGAIN 2 KNN FALSE,5,1,5,76,.99,.50,.94,.66,.65)
 (BSQUARE-PRISM BSQUARE 2 KNN TRUE,70,14,2,1,.07,.03,.33,.04,.34)
 (BSQUARE-PRISM BSQUARE 2 KNN FALSE,1,5,14,67,.93,.93,.83,.93,.34)
 (INFOGAIN-NB INFOGAIN 4 KNN TRUE,64,9,8,6,.40,.11,.43,.17,.57)
 (INFOGAIN-NB INFOGAIN 4 KNN FALSE,6,8,9,64,.89,.60,.88,.72,.57)
 (BSQUARE-NB BSQUARE 4 KNN TRUE,67,7,4,9,.56,.06,.69,.10,.69)
 (BSQUARE-NB BSQUARE 4 KNN FALSE,9,4,7,67,.94,.44,.91,.60,.69)
 (INFOGAIN-PRISM INFOGAIN 4 KNN TRUE,70,3,4,10,.77,.05,.71,.10,.83)
 (INFOGAIN-PRISM INFOGAIN 4 KNN FALSE,11,7,2,67,.91,.15,.97,.26,.87)
 (BSQUARE-PRISM BSQUARE 4 KNN TRUE,67,1,2,17,.94,.03,.89,.06,.96)
 (BSQUARE-PRISM BSQUARE 4 KNN FALSE,18,5,0,64,.93,.00,1.00,.00,.95)
 (INFOGAIN-NB INFOGAIN 8 KNN TRUE,63,6,7,11,.65,.10,.61,.17,.74)
 (INFOGAIN-NB INFOGAIN 8 KNN FALSE,11,7,6,63,.90,.35,.91,.51,.74)
 (BSQUARE-NB BSQUARE 8 KNN TRUE,66,6,5,10,.63,.07,.67,.13,.73)
 (BSQUARE-NB BSQUARE 8 KNN FALSE,10,5,6,66,.93,.38,.92,.53,.73)
 (INFOGAIN-PRISM INFOGAIN 8 KNN TRUE,76,7,1,3,.30,.01,.75,.02,.50)
 (INFOGAIN-PRISM INFOGAIN 8 KNN FALSE,5,3,5,74,.96,.50,.94,.66,.65)
 (BSQUARE-PRISM BSQUARE 8 KNN FALSE,9,6,6,66,.92,.40,.92,.56,.71)
 (BSQUARE-PRISM BSQUARE 8 KNN TRUE,70,6,2,9,.60,.03,.82,.05,.72)
 (INFOGAIN-NB INFOGAIN 10 KNN TRUE,71,4,5,7,.64,.07,.58,.12,.74)
 (INFOGAIN-NB INFOGAIN 10 KNN FALSE,7,5,4,71,.93,.36,.95,.52,.74)
 (BSQUARE-NB BSQUARE 10 KNN TRUE,62,7,11,7,.50,.15,.39,.23,.63)
 (BSQUARE-NB BSQUARE 10 KNN FALSE,7,11,7,62,.85,.50,.90,.63,.63)
 (INFOGAIN-PRISM INFOGAIN 10 KNN TRUE,64,7,6,10,.59,.09,.63,.15,.70)
 (INFOGAIN-PRISM INFOGAIN 10 KNN FALSE,12,9,5,61,.87,.29,.92,.44,.77)
 (BSQUARE-PRISM BSQUARE 10 KNN TRUE,67,6,3,11,.65,.04,.79,.08,.75)
 (BSQUARE-PRISM BSQUARE 10 KNN FALSE,11,7,6,63,.90,.35,.91,.51,.74)
 (INFOGAIN-NB INFOGAIN 12 KNN TRUE,71,7,6,3,.30,.08,.33,.12,.50)
 (INFOGAIN-NB INFOGAIN 12 KNN FALSE,3,6,7,71,.92,.70,.91,.80,.50)
 (BSQUARE-NB BSQUARE 12 KNN TRUE,58,9,14,6,.40,.19,.30,.26,.55)
 (BSQUARE-NB BSQUARE 12 KNN FALSE,6,14,9,58,.81,.60,.87,.69,.55)
 (INFOGAIN-PRISM INFOGAIN 12 KNN FALSE,9,4,6,68,.94,.40,.92,.56,.71)
 (INFOGAIN-PRISM INFOGAIN 12 KNN TRUE,68,6,4,9,.60,.06,.69,.10,.71)
 (BSQUARE-PRISM BSQUARE 12 KNN TRUE,72,6,0,9,.60,.00,1.00,.00,.72)
 (BSQUARE-PRISM BSQUARE 12 KNN FALSE,11,5,4,67,.93,.27,.94,.41,.81)
 (INFOGAIN-NB INFOGAIN 2 KNN TRUE,57,8,6,16,.67,.10,.73,.17,.75)
 (INFOGAIN-NB INFOGAIN 2 KNN FALSE,16,6,8,57,.90,.33,.88,.49,.75)
 (BSQUARE-NB BSQUARE 2 KNN FALSE,0,6,10,71,.92,1.00,.88,.00,.29)
 (BSQUARE-NB BSQUARE 2 KNN TRUE,71,10,6,0,.00,.08,.00,.00,.29)
 (INFOGAIN-PRISM INFOGAIN 2 KNN TRUE,72,8,1,6,.43,.01,.86,.03,.60)
